row_id,listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
ROW_00001,SYN_01254,,25190000.0,1531.0,3.0,2,1,"Ambedkar Colony, Yelahanka",,,,11.0,14.0,Unfurnished,West,4.0,Ready to Move,,False,,,,,Synthetic
ROW_00002,REAL_20721589,2.5 BHK Flat,17000000.0,1280.0,2.5,2,1,"Anjanadri Layout, Konanakunte",Bengaluru,12.883953,77.563213,10.0,15.0,Semi Furnished,South,6.0,Ready to Move,,False,,2026-07-17,resale,Resale,Real
ROW_00003,REAL_19161091,4 BHK Flat,95000000.0,3500.0,4.0,4,3,"Mahantara Lay Out, Kempegowda Nagar",Bengaluru,12.950745,77.566063,11.0,21.0,Unfurnished,North,7.0,Ready to Move,,False,Svasa Homes,2026-07-24,resale,Resale,Real
ROW_00004,REAL_20484165,3 BHK Flat,21500000.0,1350.0,3.0,3,1,"Carmelaram, Bengaluru",Bengaluru,12.915319,77.709557,8.0,15.0,Semi Furnished,West,2.0,Ready to Move,,False,DSR Parkway,2026-08-29,resale,Resale,Real
ROW_00005,REAL_21087605,2 BHK Flat,15800000.0,1334.0,2.0,2,1,"Dodsworth Layout, Whitefield",Bengaluru,12.9698361261294,77.7490637273097,3.0,4.0,Semi Furnished,East,15.0,Ready to Move,,False,White Field Ville,2026-09-10,resale,Resale,Real
ROW_00006,SYN_01342,,14420000.0,1388.0,3.0,3,1,"Aishwarya Crystal Layout, Begur",,,,0.0,4.0,Unfurnished,Unknown,2.0,Ready to Move,,False,,,,,Synthetic
ROW_00007,REAL_20380063,2 BHK Flat,7200000.0,933.0,2.0,2,1,"Terracon Doctors Enclave, Chandapura",Bengaluru,12.796714,77.709618,3.0,3.0,Semi Furnished,North,3.0,Ready to Move,,False,Bhavisha Meadows,2026-06-03,resale,Resale,Real
ROW_00008,SYN_00204,,21090000.0,2214.0,3.0,3,2,"Shriram Sameeksha, Singapura",,,,21.0,23.0,Unfurnished,West,1.0,Ready to Move,,False,,,,,Synthetic
ROW_00009,SYN_01365,,13870000.0,1364.0,3.0,3,1,"Essel Gardens, Bengaluru",,,,1.0,6.0,Semi Furnished,Unknown,28.0,Ready to Move,,False,,,,,Synthetic
ROW_00010,REAL_20844555,2 BHK Flat,12000000.0,1092.0,2.0,2,1,"Bengaluru Hardware Park, Bengaluru",Bengaluru,13.14783,77.67757,1.0,28.0,Unfurnished,East,,Ready to Move,,False,Godrej Ananda,2026-08-04,resale,Resale,Real
ROW_00011,REAL_20345928,3 BHK Flat,14900000.0,1570.0,3.0,3,1,"Devasthanagalu, Varthur",Bengaluru,12.939018,77.741127,4.0,4.0,Semi Furnished,North,3.0,Ready to Move,,False,SJ Pinnacle,2026-08-26,resale,Resale,Real
ROW_00012,SYN_02489,,13570000.0,1043.0,2.0,2,2,"Aishwarya Crystal Layout, Begur",,,,0.0,12.0,Semi Furnished,Unknown,16.7,Ready to Move,,False,,,,,Synthetic
ROW_00013,SYN_00274,,28760000.0,1951.0,3.5,3,1,"Sri Balaji Krupa Layout, R.K. Hegde Nagar",,,,28.0,33.0,Semi Furnished,North,10.9,Ready to Move,,False,,,,,Synthetic
ROW_00014,SYN_00655,,24500000.0,1559.0,3.0,2,1,"Sannatammanahalli, Battarahalli",,,,3.0,5.0,Semi Furnished,South,15.0,Ready to Move,,False,,,,,Synthetic
ROW_00015,REAL_20941132,3 BHK Flat,28000000.0,1500.0,3.0,3,1,"Varthur, Bengaluru",Bengaluru,12.933178,77.744591,8.0,22.0,Semi Furnished,West,5.0,Ready to Move,,False,Brigade Cornerstone Utopia,2026-08-18,resale,Resale,Real
ROW_00016,SYN_01035,,28820000.0,1884.0,3.0,3,1,"Bellandur, Bengaluru",,,,15.0,15.0,Semi Furnished,East,0.6,Upcoming,2026-03-22,True,,,,,Synthetic
ROW_00017,REAL_21075315,3 BHK Flat,29000000.0,2080.0,3.0,3,2,"East Of NGEF Layout, Kasturi Nagar",Bengaluru,13.006106,77.656949,3.0,3.0,Unfurnished,North,2.0,Ready to Move,,False,,2026-09-08,resale,Resale,Real
ROW_00018,SYN_04932,,10810000.0,1251.0,2.0,2,1,"Cauvery Colony, Koramangala",,,,4.0,14.0,Semi Furnished,Unknown,9.5,Ready to Move,,False,,,,,Synthetic
ROW_00019,SYN_02053,,13750000.0,1015.0,2.0,2,1,"Buena Vista, Bommenahalli",,,,1.0,4.0,Semi Furnished,East,1.0,Ready to Move,,False,,,,,Synthetic
ROW_00020,SYN_03160,,35620000.0,2474.0,3.0,3,0,"Lakedew Residency- Phase 2, Harlur",,,,21.0,21.0,Unfurnished,East,6.5,Ready to Move,,False,,,,,Synthetic
ROW_00021,SYN_04898,,14290000.0,1146.0,2.0,2,1,"Manayata Tech Park, Thanisandra",,,,9.0,21.0,Semi Furnished,East,10.1,Ready to Move,,False,,,,,Synthetic
ROW_00022,REAL_20716856,3 BHK Flat,31500000.0,1818.0,3.0,3,1,"Ramagondanahalli, Whitefield",Bengaluru,12.954825,77.742708,11.0,17.0,Unfurnished,West,,Ready to Move,,False,Prestige Somerville,2026-07-17,resale,Resale,Real
ROW_00023,REAL_19481016,3 BHK Flat,9700000.0,1360.0,3.0,2,1,"Vignan Nagar, Basavanagar",Bengaluru,12.972515,77.680878,0.0,4.0,Semi Furnished,North,12.0,Ready to Move,,False, Sands Paradise,2026-06-08,resale,Resale,Real
ROW_00024,SYN_04487,,20250000.0,988.0,2.0,2,1,"Classic Orchids Layout, Kalena Agrahara",,,,9.0,14.0,Unfurnished,North,8.2,Ready to Move,,False,,,,,Synthetic
ROW_00025,REAL_20976660,3 BHK Flat,26500000.0,1675.0,3.0,3,1,"Thomas Town, Cooke Town",Bengaluru,13.005436,77.624405,2.0,4.0,Semi Furnished,Unknown,3.0,Ready to Move,,False,,2026-09-03,resale,Resale,Real
ROW_00026,SYN_04922,,16000000.0,1162.0,2.0,2,2,"Manayata Tech Park, Thanisandra",,,,6.0,13.0,Semi Furnished,East,8.0,Ready to Move,,False,,,,,Synthetic
ROW_00027,REAL_20913394,3 BHK Flat,20500000.0,1700.0,3.0,3,1,"Yadavanahalli, Bengaluru",Bengaluru,12.786716,77.744095,10.0,38.0,Unfurnished,East,,Upcoming,2026-12-01,True,Sobha Manhattan Towers Town Park,2026-08-13,resale,Resale,Real
ROW_00028,SYN_03245,,22350000.0,1401.0,2.0,2,1,"Varthur, Bengaluru",,,,2.0,4.0,Semi Furnished,East,7.5,Upcoming,2027-02-16,True,,,,,Synthetic
