listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
21034436,3 BHK Flat,6500000.0,1074.0,3.0,2,2,"Bisuvanahalli, Bengaluru",Bengaluru,13.228578,77.548027,4.0,7.0,Unfurnished,North,11.0,Ready to Move,,False,Provident Welworth City,2026-09-02,resale,Resale,Real
21106825,3 BHK Flat,22000000.0,1720.0,3.0,3,1,"RMZ Galleria Residences, Yelahanka Satellite Town",Bengaluru,13.090158,77.584496,3.0,12.0,Semi Furnished,East,1.0,Ready to Move,,False,Capstone Flowing Tree,2026-09-12,resale,Resale,Real
21131215,3 BHK Flat,28100000.0,1748.0,3.0,3,1,"Pantarapalya, Nayandahalli",Bengaluru,12.94031,77.5252,2.0,22.0,Semi Furnished,North,4.0,Ready to Move,,False,Sattva Divinity,2026-09-17,resale,Resale,Real
21131469,2 BHK Flat,5400000.0,750.0,2.0,2,1,"Bluejay Ardley, Venkatapura, Kambipura",Bengaluru,12.883161,77.472244,3.0,3.0,Semi Furnished,North,3.0,Ready to Move,,False,VBHC Palmhaven I,2026-09-17,resale,Resale,Real
21046068,2 BHK Flat,5100000.0,915.0,2.0,2,1,"BEML Cooperative Society Layout, Bengaluru",Bengaluru,12.811885,77.783623,3.0,3.0,Semi Furnished,South,8.0,Ready to Move,,False,Shriram Smrithi,2026-09-03,resale,Resale,Real
20228143,2 BHK Flat,8900000.0,885.0,2.0,2,0,"Chaithanya Samarth, Bommenahalli",Bengaluru,13.07164,77.73542,5.0,13.0,Unfurnished,East,1.0,Ready to Move,,False,Shriram WYT Field,2026-08-21,resale,Resale,Real
21051530,2 BHK Flat,10000000.0,1280.0,2.0,2,1,"Nagnolia Park, Nagondanahalli",Bengaluru,12.96969,77.7648518,2.0,11.0,Fully Furnished,North-East,7.0,Ready to Move,,False,BM Magnolia Park by BM Developers,2026-09-04,resale,Resale,Real
21098740,2 BHK Flat,13000000.0,1300.0,2.0,2,1,"Aditya Layout, RR Nagar",Bengaluru,12.929192,77.526058,2.0,5.0,Semi Furnished,East,1.0,Ready to Move,,False,,2026-09-11,resale,Resale,Real
20786696,2 BHK Flat,12500000.0,1052.0,2.0,2,2,"Someshwara Layout, Doddakannelli",Bengaluru,12.903411,77.707367,5.0,12.0,Semi Furnished,West,8.0,Ready to Move,,False,,2026-07-27,resale,Resale,Real
21119850,2 BHK Flat,7000000.0,1092.0,2.0,2,1,"Sai Sree Layout, Parappana Agrahara",Bengaluru,12.877709,77.655373,4.0,4.0,Semi Furnished,Unknown,10.0,Ready to Move,,False,Ri Elegance,2026-09-15,resale,Resale,Real
20366622,3 BHK Flat,24200000.0,1828.0,3.0,3,1,"Kodathi, Bengaluru",Bengaluru,12.889948,77.716301,3.0,13.0,Unfurnished,Unknown,4.0,Ready to Move,,False,Assetz 63 Degree East Tower B,2026-06-01,resale,Resale,Real
20972194,2 BHK Flat,13000000.0,1280.0,2.0,2,1,"Halasahalli, Bengaluru",Bengaluru,12.931368,77.741859,9.0,9.0,Unfurnished,Unknown,7.0,Ready to Move,,False,Saroj Harmony,2026-08-22,resale,Resale,Real
18723686,2 BHK Flat,13400000.0,1204.0,2.0,2,1,"Devasthanagalu, Varthur",Bengaluru,12.932368,77.741669,10.0,23.0,Semi Furnished,East,5.0,Ready to Move,,False,Candeur Landmark,2026-06-26,resale,Resale,Real
21131498,3 BHK Flat,11500000.0,1415.0,3.0,2,1,"Duo Marvel Layout, Anantapura",Bengaluru,13.118435,77.572647,4.0,5.0,Semi Furnished,East,10.0,Ready to Move,,False,President Leon,2026-09-17,resale,Resale,Real
20545648,3 BHK Flat,14600000.0,1401.0,3.0,2,1,"Gummanahalli, Bengaluru",Bengaluru,13.144026,77.684334,2.0,21.0,Unfurnished,West,11.0,Ready to Move,,False,Brigade El Dorado,2026-06-24,resale,Resale,Real
21048595,2 BHK Flat,13500000.0,1430.0,2.0,2,0,"Sri Ammembal Subbarao Pai Nagar, Sahakara Nagar",Bengaluru,13.066576,77.57869,1.0,4.0,Unfurnished,Unknown,15.0,Ready to Move,,False,Arya Krishna Mansion,2026-09-04,resale,Resale,Real
20513619,2 BHK Flat,12600000.0,960.0,2.0,2,0,"Eastwood Township, Kasavanahalli",Bengaluru,12.903612,77.670272,2.0,9.0,Semi Furnished,West,7.0,Ready to Move,,False,,2026-09-20,resale,Resale,Real
20798179,2 BHK Flat,11000000.0,850.0,2.0,2,1,"Bidare Agraha, Bengaluru",Bengaluru,13.037164,77.751762,9.0,12.0,Semi Furnished,East,4.0,Ready to Move,,False,SLV Central Park,2026-07-28,resale,Resale,Real
20320817,2 BHK Flat,9000000.0,972.0,2.0,2,1,"Utsav Raaga, Kannuru",Bengaluru,13.09662,77.647377,4.0,13.0,Semi Furnished,South,9.0,Ready to Move,,False,Kolte Patil Raaga,2026-05-26,resale,Resale,Real
20798160,3 BHK Flat,15000000.0,1200.0,3.0,3,1,"Bidare Agraha, Bengaluru",Bengaluru,13.037164,77.751762,1.0,12.0,Semi Furnished,East,4.0,Ready to Move,,False,SLV Central Park,2026-07-28,resale,Resale,Real
20934549,3 BHK Flat,26000000.0,1400.0,3.0,2,1,"Panathur, Bengaluru",Bengaluru,12.935909,77.70546,1.0,12.0,Unfurnished,East,1.0,Ready to Move,,False,Prestige Green Gables,2026-08-17,resale,Resale,Real
