,price,area_sqft,bhk,bathrooms,parking,latitude,longitude,floor_number,total_floors,age_years
price,1.0,0.7874031683507839,0.5068988741781044,0.565060378322521,0.3650152045467284,0.023432285341563473,-0.09462769582382623,0.13954261370699506,0.18811040637819063,0.032791558882971736
area_sqft,0.7874031683507839,1.0,0.7586711877843486,0.7921726609841895,0.4395136617853173,0.022958022070043268,-0.08768062672465625,0.06489949108600156,0.0817739831074937,0.12585509496182007
bhk,0.5068988741781044,0.7586711877843486,1.0,0.8840584512016915,0.3278375250629832,-0.011291328960707869,-0.0663836982086993,0.06130801374724023,0.07054964344315821,0.08433343466185797
bathrooms,0.565060378322521,0.7921726609841895,0.8840584512016915,1.0,0.36957591655554073,-0.019481905576266445,-0.07557910692799216,0.08408356121127161,0.09914687081831029,0.09183362928572372
parking,0.3650152045467284,0.4395136617853173,0.3278375250629832,0.36957591655554073,1.0,0.0720704708622926,-0.12614562644517502,0.10451957564434725,0.09294680508661508,0.018817870907288738
latitude,0.023432285341563473,0.022958022070043268,-0.011291328960707869,-0.019481905576266445,0.0720704708622926,1.0,-0.06598171314143847,0.07343033840236357,0.10220831247008413,-0.1152204293217572
longitude,-0.09462769582382623,-0.08768062672465625,-0.0663836982086993,-0.07557910692799216,-0.12614562644517502,-0.06598171314143847,1.0,0.07966959802440185,0.13524870013423748,-0.10114181045307177
floor_number,0.13954261370699506,0.06489949108600156,0.06130801374724023,0.08408356121127161,0.10451957564434725,0.07343033840236357,0.07966959802440185,1.0,0.6777052242545821,-0.2811885140785523
total_floors,0.18811040637819063,0.0817739831074937,0.07054964344315821,0.09914687081831029,0.09294680508661508,0.10220831247008413,0.13524870013423748,0.6777052242545821,1.0,-0.3885547901214726
age_years,0.032791558882971736,0.12585509496182007,0.08433343466185797,0.09183362928572372,0.018817870907288738,-0.1152204293217572,-0.10114181045307177,-0.2811885140785523,-0.3885547901214726,1.0
