column_name,description,source_raw_column,data_type,missing_count,missing_percentage,example_values,role,reason_for_retention
listingId,Analytical column for listingId,listingId,int64,0,0.0,21034436,Reference,Traceability
title,Analytical column for title,title,str,0,0.0,3 BHK Flat,Reference,Traceability
price,Analytical column for price,price,float64,0,0.0,6500000.0,Target,Critical property characteristic
area_sqft,Analytical column for area_sqft,propertyInformation/area or area,float64,0,0.0,1074.0,Feature,Critical property characteristic
bhk,Analytical column for bhk,propertyInformation/bedrooms & title,float64,0,0.0,3.0,Feature,Critical property characteristic
bathrooms,Analytical column for bathrooms,bathrooms,int64,0,0.0,2,Feature,Critical property characteristic
parking,Analytical column for parking,parking,int64,0,0.0,2,Feature,Critical property characteristic
location,Analytical column for location,location,str,0,0.0,"Bisuvanahalli, Bengaluru",Feature,Critical property characteristic
city,Analytical column for city,city,str,0,0.0,Bengaluru,Feature,Critical property characteristic
latitude,Analytical column for latitude,coords/0,float64,0,0.0,13.228578,Feature,Critical property characteristic
longitude,Analytical column for longitude,coords/1,float64,0,0.0,77.548027,Feature,Critical property characteristic
floor,Analytical column for floor,features/*/label & description,object,51,1.0202040408081616,4 of 7,Feature,Critical property characteristic
furnishing,Analytical column for furnishing,features/*/label & description,object,0,0.0,Unfurnished,Feature,Critical property characteristic
facing,Analytical column for facing,features/*/label & description,object,332,6.64132826565313,north facing,Feature,Critical property characteristic
age_of_property,Analytical column for age_of_property,features/*/label & description,object,1266,25.3250650130026,11 Year Old,Feature,Critical property characteristic
possession_status,Analytical column for possession_status,features/*/label & description,object,0,0.0,Ready to move,Feature,Critical property characteristic
is_under_construction,Analytical column for is_under_construction,isUc,bool,0,0.0,False,Feature,Critical property characteristic
project_name,Analytical column for project_name,entityProjectName,str,780,15.603120624124825,Provident Welworth City,Feature,Critical property characteristic
postedDate,Analytical column for postedDate,postedDate,str,11,0.22004400880176034,2026-09-02T12:57:29Z,Feature,Critical property characteristic
propertyType,Analytical column for propertyType,propertyType,str,0,0.0,resale,Feature,Critical property characteristic
saleTag,Analytical column for saleTag,saleTag,str,0,0.0,Resale,Feature,Critical property characteristic
