price,area_sqft,bhk,bathrooms,parking,location,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction
6500000.0,1074.0,3.0,2,2,"Bisuvanahalli, Bengaluru",4.0,7.0,Unfurnished,North,11.0,Ready to Move,,False
22000000.0,1720.0,3.0,3,1,"RMZ Galleria Residences, Yelahanka Satellite Town",3.0,12.0,Semi Furnished,East,1.0,Ready to Move,,False
28100000.0,1748.0,3.0,3,1,"Pantarapalya, Nayandahalli",2.0,22.0,Semi Furnished,North,4.0,Ready to Move,,False
5400000.0,750.0,2.0,2,1,"Bluejay Ardley, Venkatapura, Kambipura",3.0,3.0,Semi Furnished,North,3.0,Ready to Move,,False
5100000.0,915.0,2.0,2,1,"BEML Cooperative Society Layout, Bengaluru",3.0,3.0,Semi Furnished,South,8.0,Ready to Move,,False
8900000.0,885.0,2.0,2,0,"Chaithanya Samarth, Bommenahalli",5.0,13.0,Unfurnished,East,1.0,Ready to Move,,False
10000000.0,1280.0,2.0,2,1,"Nagnolia Park, Nagondanahalli",2.0,11.0,Fully Furnished,North-East,7.0,Ready to Move,,False
13000000.0,1300.0,2.0,2,1,"Aditya Layout, RR Nagar",2.0,5.0,Semi Furnished,East,1.0,Ready to Move,,False
12500000.0,1052.0,2.0,2,2,"Someshwara Layout, Doddakannelli",5.0,12.0,Semi Furnished,West,8.0,Ready to Move,,False
7000000.0,1092.0,2.0,2,1,"Sai Sree Layout, Parappana Agrahara",4.0,4.0,Semi Furnished,Unknown,10.0,Ready to Move,,False
24200000.0,1828.0,3.0,3,1,"Kodathi, Bengaluru",3.0,13.0,Unfurnished,Unknown,4.0,Ready to Move,,False
13000000.0,1280.0,2.0,2,1,"Halasahalli, Bengaluru",9.0,9.0,Unfurnished,Unknown,7.0,Ready to Move,,False
13400000.0,1204.0,2.0,2,1,"Devasthanagalu, Varthur",10.0,23.0,Semi Furnished,East,5.0,Ready to Move,,False
