Variable,Type,Count,Missing,Mean,Median,Std,Min,Max,Q1,Q3,Unique_Values,Top_Value
price,Numerical,4999,0,19715368.27365473,15800000.0,18156518.324802063,2000000.0,700000000.0,11000000.0,24300000.0,,
area_sqft,Numerical,4999,0,1496.624724944989,1350.0,701.5064319779556,300.0,9300.0,1085.0,1730.0,,
bhk,Numerical,4999,0,2.6117223444688937,3.0,0.7598694458607516,1.0,12.0,2.0,3.0,,
bathrooms,Numerical,4999,0,2.51750350070014,2.0,0.8116077695576788,1.0,12.0,2.0,3.0,,
parking,Numerical,4999,0,1.2070414082816563,1.0,0.5805835507396441,0.0,5.0,1.0,1.0,,
latitude,Numerical,4999,0,12.970858236289198,12.9667,0.0993679327965872,12.546403,13.470165,12.890753,13.052491,,
longitude,Numerical,4999,0,77.67193891937514,77.67878,0.074386152991249,77.413735,77.862454,77.622772,77.738134,,
floor_number,Numerical,4948,51,7.946847210994341,6.0,7.059036916355866,0.0,42.0,3.0,11.0,,
total_floors,Numerical,4948,51,15.801940177849636,14.0,9.423442777291832,1.0,50.0,7.0,22.0,,
age_years,Numerical,3733,1266,6.006697026520225,5.0,5.033883917231196,1.0,35.0,2.0,9.0,,
location,Categorical,4999,0,,,,,,,,776.0,"Gummanahalli, Bengaluru"
city,Categorical,4999,0,,,,,,,,1.0,Bengaluru
furnishing,Categorical,4999,0,,,,,,,,3.0,Semi Furnished
facing,Categorical,4999,0,,,,,,,,8.0,East
possession_category,Categorical,4999,0,,,,,,,,2.0,Ready to Move
is_under_construction,Categorical,4999,0,,,,,,,,2.0,False
