listingId,price,area_sqft,bhk,bathrooms,parking,location,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,data_source
SYN_00001,7640000,1219,2.0,2,1,"Subramanyapura, Bengaluru",13,18,Semi Furnished,North,1.6,Ready to Move,,False,Synthetic
SYN_00002,15130000,1498,3.0,3,1,"Aishwarya Crystal Layout, Begur",10,14,Unfurnished,Unknown,5.0,Ready to Move,,False,Synthetic
SYN_00003,25940000,1740,3.0,3,2,"Varthur, Bengaluru",1,17,Semi Furnished,East,2.9,Ready to Move,,False,Synthetic
SYN_00004,11560000,1123,2.0,2,1,"Anekal, Bengaluru",1,5,Semi Furnished,West,1.3,Ready to Move,,False,Synthetic
SYN_00005,13260000,1089,2.0,2,1,"Judicial Layout 2nd Phase, Talaghattapura",5,5,Unfurnished,Unknown,2.0,Ready to Move,,False,Synthetic
SYN_00006,22040000,1325,3.0,3,1,"Chansandra, Bengaluru",17,20,Unfurnished,Unknown,8.3,Ready to Move,,False,Synthetic
SYN_00007,11510000,1184,2.0,2,2,"Budigere Cross, Bengaluru",11,12,Semi Furnished,East,1.2,Ready to Move,,False,Synthetic
SYN_00008,26150000,1814,3.0,3,2,"Nallurhalli, Whitefield",11,14,Unfurnished,West,16.0,Ready to Move,,False,Synthetic
SYN_00009,55390000,4273,4.0,4,1,"Chikkabana Halli, Bengaluru",0,15,Unfurnished,North,30.0,Ready to Move,,False,Synthetic
SYN_00010,44520000,2565,3.0,3,1,"Maruthi Nagar, Yelahanka",5,32,Unfurnished,East,1.5,Ready to Move,,False,Synthetic
SYN_00011,31180000,1884,3.5,3,2,"Ambedkar Colony, Yelahanka",2,14,Unfurnished,West,3.1,Ready to Move,,False,Synthetic
SYN_00012,16010000,1396,2.0,2,2,"Kadagrahara, Bengaluru",3,4,Semi Furnished,North,6.0,Ready to Move,,False,Synthetic
SYN_00013,12810000,853,2.0,2,1,"Yadavanahalli, Bengaluru",24,39,Semi Furnished,East,12.7,Ready to Move,,True,Synthetic
SYN_00014,31550000,2041,4.0,3,3,"1A Block, Koramangala",6,18,Semi Furnished,East,7.2,Upcoming,2027-07-18,True,Synthetic
SYN_00015,11480000,992,2.0,2,2,"Sarjapur, Bengaluru",20,20,Semi Furnished,East,5.0,Ready to Move,,False,Synthetic
SYN_00016,14600000,1557,3.0,3,1,"Hunasamaranahalli, Bengaluru",20,23,Unfurnished,East,4.0,Ready to Move,,True,Synthetic
SYN_00017,25270000,1613,3.0,3,1,"Thigala Chowdadenahalli, Bengaluru",7,14,Semi Furnished,East,9.1,Ready to Move,,True,Synthetic
SYN_00018,12710000,1008,2.0,2,1,"Konena Agrahara, Murugeshpalya",2,8,Semi Furnished,Unknown,1.0,Ready to Move,,False,Synthetic
SYN_00019,10860000,1030,2.0,2,1,"Jyotipuram, Bengaluru",10,19,Unfurnished,East,4.5,Ready to Move,,False,Synthetic
SYN_00020,18480000,1573,3.0,3,1,"Nandi Durga Road Extension, Jayamahal",2,4,Semi Furnished,East,9.9,Ready to Move,,False,Synthetic
SYN_00021,19070000,1471,2.0,2,2,"Anchepalya, Bengaluru",10,21,Semi Furnished,Unknown,14.0,Ready to Move,,False,Synthetic
SYN_00022,15390000,1161,2.0,2,1,"Dodsworth Layout, Whitefield",11,13,Unfurnished,West,7.0,Ready to Move,,False,Synthetic
SYN_00023,17430000,1596,3.0,3,1,"Chambenahalli, Bengaluru",1,4,Semi Furnished,East,0.1,Ready to Move,,False,Synthetic
SYN_00024,33240000,1700,3.0,3,1,"Seetharampalya, Hoodi",3,4,Unfurnished,North,9.9,Ready to Move,,False,Synthetic
SYN_00025,28350000,1837,3.0,3,1,"5th Block, Koramangala",5,8,Semi Furnished,North,1.0,Ready to Move,,True,Synthetic
SYN_00026,12610000,1288,2.0,2,1,"Govinda Reddy Layout, Panduranga Nagar",0,14,Semi Furnished,Unknown,9.7,Ready to Move,,False,Synthetic
SYN_00027,5170000,983,2.0,2,2,"Hoskote, Bengaluru",5,7,Unfurnished,West,8.4,Ready to Move,,False,Synthetic
SYN_00028,21540000,1318,2.0,2,1,"Gunjur Village, Bengaluru",4,8,Semi Furnished,North,1.7,Ready to Move,,False,Synthetic
SYN_00029,15710000,1031,3.0,3,1,"Rays Of Dawn, Kambipura",2,18,Semi Furnished,West,16.8,Ready to Move,,False,Synthetic
SYN_00030,12550000,1221,2.0,2,1,"Samethanahalli, Bengaluru",0,4,Semi Furnished,North-East,4.2,Ready to Move,,False,Synthetic
SYN_00031,16860000,1059,3.0,3,1,"Industrial Suburb, Yeswanthpur",0,5,Semi Furnished,East,0.9,Ready to Move,,False,Synthetic
SYN_00032,17530000,1996,3.0,3,2,"Chowdeshwari Layout, Yelahanka",18,21,Semi Furnished,West,1.6,Ready to Move,,False,Synthetic
SYN_00033,16160000,1066,2.0,2,1,"Sarjapur, Bengaluru",3,4,Semi Furnished,North,0.5,Ready to Move,,False,Synthetic
SYN_00034,28720000,1993,3.0,3,1,"Ardendale, Kannamangala - Whitefield Hoskote Road",6,14,Semi Furnished,West,2.0,Ready to Move,,False,Synthetic
SYN_00035,8380000,654,1.0,1,0,"Sarjapur, Bengaluru",27,28,Semi Furnished,North,0.6,Ready to Move,,False,Synthetic
SYN_00036,20210000,1294,3.0,2,1,"Chikkabana Halli, Bengaluru",2,30,Unfurnished,Unknown,1.8,Ready to Move,,False,Synthetic
SYN_00037,10470000,829,2.0,2,1,"Thirumalashettyhally, Bengaluru",1,11,Unfurnished,East,8.9,Ready to Move,,False,Synthetic
SYN_00038,18150000,1379,3.0,3,1,"Devasthanagalu, Varthur",3,4,Semi Furnished,North,5.0,Upcoming,2027-07-29,True,Synthetic
SYN_00039,13390000,1305,2.0,2,1,"Dodsworth Layout, Whitefield",4,5,Semi Furnished,West,1.0,Ready to Move,,False,Synthetic
SYN_00040,13280000,1012,2.0,1,1,"Budigere Cross, Bengaluru",12,14,Semi Furnished,East,12.7,Ready to Move,,False,Synthetic
SYN_00041,14090000,892,2.0,2,1,"Sarjapur, Bengaluru",1,9,Semi Furnished,East,6.8,Ready to Move,,False,Synthetic
SYN_00042,25650000,1329,2.0,2,1,"Bhoganhalli, Bengaluru",19,20,Unfurnished,Unknown,9.1,Ready to Move,,False,Synthetic
SYN_00043,14950000,1123,2.0,2,1,"Kannuru, Bengaluru",8,12,Semi Furnished,East,8.5,Ready to Move,,False,Synthetic
